City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI,Temperature (Celsius),humidity,Wind_Speed,Pressure,AQI_Bucket
Ahmedabad,01-01-2015,,,0.92,18.22,17.15,,0.92,27.64,133.36,0,0.02,0,,-2.125737563,73.9708862,16.1963397,1001.441549,
Ahmedabad,02-01-2015,,,0.97,15.69,16.46,,0.97,24.55,34.06,3.68,5.5,3.77,,31.37265263,36.8934608,24.45790396,1028.6272,
Ahmedabad,03-01-2015,,,17.4,19.3,29.7,,17.4,29.07,30.7,6.8,16.4,2.25,,31.22585428,20.29995871,6.336927107,1024.232406,
Ahmedabad,04-01-2015,,,1.7,18.48,17.97,,1.7,18.59,36.08,4.43,10.14,1,,-18.86168949,80.74444777,11.97942283,1011.078022,
Ahmedabad,05-01-2015,,,22.1,21.42,37.76,,22.1,39.33,39.31,7.01,18.89,2.78,,36.34760238,79.55979444,16.29242051,1002.499833,
Ahmedabad,06-01-2015,,,45.41,38.48,81.5,,45.41,45.76,46.51,5.42,10.83,1.93,,29.92876628,11.52112663,11.83351267,1015.95994,
Ahmedabad,07-01-2015,,,112.16,40.62,130.77,,112.16,32.28,33.47,0,0,0,,16.61795192,79.04551163,11.91713796,1007.796785,
Ahmedabad,08-01-2015,,,80.87,36.74,96.75,,80.87,38.54,31.89,0,0,0,,13.19159683,48.7296501,0.88234576,1026.96489,
Ahmedabad,09-01-2015,,,29.16,31,48,,29.16,58.68,25.75,0,0,0,,38.25075765,5.272819492,15.13849385,1012.627221,
Ahmedabad,10-01-2015,,,,7.04,0,,,8.29,4.55,0,0,0,,-17.87426452,68.0602308,16.6192473,1016.440026,
Ahmedabad,11-01-2015,,,132.07,55.8,24.53,,132.07,25.03,6.79,0,0,0,,29.48905129,94.30098645,20.31630562,1019.236986,
Ahmedabad,12-01-2015,,,52.04,40.67,90.24,,52.04,51.84,45.89,2.41,0.03,7.88,,12.30126958,7.741602312,19.77764949,1014.348994,
Ahmedabad,13-01-2015,,,48.82,44.2,87.09,,48.82,68.21,35.16,9.45,13.35,12.5,,-1.883840834,3.164990811,14.6415097,1027.792335,
Ahmedabad,14-01-2015,,,19.2,27.86,33.05,,19.2,52.65,20.96,2.16,2.26,5.19,,15.9138913,37.53522713,23.39872449,1016.002025,
Ahmedabad,15-01-2015,,,0.6,16.96,16.6,,0.6,28.89,47.63,0.14,0.04,1.35,,1.10167551,7.852468689,6.480263447,1017.39278,
Ahmedabad,16-01-2015,,,1.63,21.72,22.86,,1.63,38.27,46.03,0.35,0.05,2.01,,-0.270537463,49.17320247,11.95873977,1009.720455,
Ahmedabad,17-01-2015,,,11.44,24.73,34.75,,11.44,49.5,52.24,0.68,0,3.27,,20.90393795,30.17537283,14.02478822,1011.714955,
Ahmedabad,18-01-2015,,,6.1,25.77,29.57,,6.1,48.43,53.49,0.74,0.21,2.75,,17.49606646,76.81877703,18.36268447,1032.620706,
Ahmedabad,19-01-2015,,,2.51,26.88,27.45,,2.51,50.03,49.48,0.26,0.02,2.8,,13.78890065,51.77816812,15.85282154,1007.236486,
Ahmedabad,20-01-2015,,,7.92,26.8,32.4,,7.92,58.87,56.37,0.24,0.01,3.97,,24.90464326,18.49768789,1.735624096,1001.419614,
Ahmedabad,21-01-2015,,,9.52,33.56,39.28,,9.52,106.93,48.75,0.33,0,5.65,,4.944959931,40.46790509,16.60085718,1003.404611,
